Step,Action,Temperature (°C),Reward,Total Energy (Wh)
139,1,111.87812157869041,-0.0050100000000000006,115.83333333333333
140,1,112.48534179668911,-0.0050100000000000006,116.66666666666667
141,1,113.0918363691118,-0.0050100000000000006,117.5
142,1,113.69760616312577,-0.0050100000000000006,118.33333333333333
143,1,114.302652044862,-0.0050100000000000006,119.16666666666667
144,1,114.90697487941642,-0.0050100000000000006,120.0
145,1,115.51057553085116,-0.0050100000000000006,120.83333333333333
146,1,116.11345486219574,-0.0050100000000000006,121.66666666666667
147,1,116.71561373544837,-0.0050100000000000006,122.5
148,1,117.31705301157714,-0.0050100000000000006,123.33333333333333
149,1,117.91777355052125,-0.0050100000000000006,124.16666666666667
150,1,118.51777621119223,-0.0050100000000000006,125.0
151,1,119.11706185147521,-0.0050100000000000006,125.83333333333333
152,1,119.71563132823015,-0.0050100000000000006,126.66666666666667
153,1,120.31348549729297,-0.0050100000000000006,127.5
154,1,120.91062521347689,-0.0050100000000000006,128.33333333333334
155,1,121.5070513305736,-0.0050100000000000006,129.16666666666666
156,1,122.10276470135446,-0.0050100000000000006,130.0
157,1,122.69776617757176,-0.0050100000000000006,130.83333333333334
158,1,123.29205660995994,-0.0050100000000000006,131.66666666666666
159,1,123.88563684823676,-0.0050100000000000006,132.5
160,1,124.47850774110454,-0.0050100000000000006,133.33333333333334
161,1,125.0706701362514,-0.0050100000000000006,134.16666666666666
162,1,125.66212488035244,-0.0050100000000000006,135.0
163,1,126.25287281907094,-0.0050100000000000006,135.83333333333334
164,1,126.84291479705962,-0.0050100000000000006,136.66666666666666
165,1,127.4322516579618,-0.0050100000000000006,137.5
166,1,128.0208842444126,-0.0050100000000000006,138.33333333333334
167,1,128.6088133980402,-0.0050100000000000006,139.16666666666666
168,1,129.19603995946702,-0.0050100000000000006,140.0
169,1,129.78256476831086,-0.0050100000000000006,140.83333333333334
170,1,130.3683886631862,-0.0050100000000000006,141.66666666666666
171,1,130.95351248170536,-0.0050100000000000006,142.5
172,1,131.5379370604796,-0.0050100000000000006,143.33333333333334
173,1,132.12166323512054,-0.0050100000000000006,144.16666666666666
174,1,132.70469184024108,-0.0050100000000000006,145.0
175,1,133.28702370945686,-0.0050100000000000006,145.83333333333334
176,1,133.86865967538725,-0.0050100000000000006,146.66666666666666
177,1,134.4496005696566,-0.0050100000000000006,147.5
178,1,135.02984722289554,-0.0050100000000000006,148.33333333333334
179,1,135.60940046474198,-0.0050100000000000006,149.16666666666666
180,1,136.18826112384244,-0.0050100000000000006,150.0
181,1,136.76643002785315,-0.0050100000000000006,150.83333333333334
182,1,137.34390800344127,-0.0050100000000000006,151.66666666666666
183,1,137.92069587628612,-0.0050100000000000006,152.5
184,1,138.49679447108022,-0.0050100000000000006,153.33333333333334
185,1,139.07220461153065,-0.0050100000000000006,154.16666666666666
186,1,139.6469271203601,-0.0050100000000000006,155.0
187,1,140.22096281930803,-0.0050100000000000006,155.83333333333334
188,1,140.794312529132,-0.0050100000000000006,156.66666666666666
189,1,141.36697706960865,-0.0050100000000000006,157.5
190,1,141.93895725953502,-0.0050100000000000006,158.33333333333334
191,1,142.51025391672965,-0.0050100000000000006,159.16666666666666
192,1,143.08086785803374,-0.0050100000000000006,160.0
193,1,143.65079989931237,-0.0050100000000000006,160.83333333333334
194,1,144.22005085545564,-0.0050100000000000006,161.66666666666666
195,1,144.7886215403798,-0.4528961999511719,162.5
