#{"t_start": 1757859302.6843524, "env_id": "None"}
r,l,t
-0.799886,199,54.31335
-0.799899,199,54.430348
-0.799894,199,54.566798
-0.799889,199,55.435381
-0.799896,199,55.57538
-0.799909,199,55.695483
-0.799892,199,55.811782
-0.799916,199,55.949783
-0.799891,199,56.068788
-0.799923,199,56.183791
-0.799926,199,56.305004
-0.799886,199,56.422995
-0.799897,199,56.555158
-0.79989,199,56.671117
